产品名称,挂钩标的,标的代码,结构,成立日,初始点位,到期日,期限,敲出阈值,敲出价格,敲入阈值,敲入价格,票息,状态,敲入日期,敲入点位,敲出日期,敲出点位,存续时长(日),存续时长(月),存续时长(年),实际损益,实际年化损益,标的资产实际损益,标的资产年化损益
产品0,10Y,S0059749,snowBall,2016-01-04,2.871,2017-01-04,12个月,-0.11,2.761,0.1,2.971,0.2,已敲出曾敲入,2016-01-04,2.871,2016-02-04,2.855,25,1,0.08333333333333333,0.016666666666666666,0.2,-0.005572971090212486,-0.06687565308254984
产品1,10Y,S0059749,snowBall,2016-01-05,2.8911,2017-01-05,12个月,-0.11,2.7811,0.1,2.9911,0.2,已敲出曾敲入,2016-01-05,2.8911,2016-02-05,2.8535,25,1,0.08333333333333333,0.016666666666666666,0.2,-0.013005430458994827,-0.15606516550793792
产品2,10Y,S0059749,snowBall,2016-01-06,2.8861,2017-01-06,12个月,-0.11,2.7761,0.1,2.9861,0.2,已敲出曾敲入,2016-01-06,2.8861,2016-02-05,2.8535,24,1,0.08333333333333333,0.016666666666666666,0.2,-0.01129551990575517,-0.13554623886906203
产品3,10Y,S0059749,snowBall,2016-01-07,2.8511,2017-01-06,12个月,-0.11,2.7411000000000003,0.1,2.9511000000000003,0.2,已敲出曾敲入,2016-01-07,2.8511,2016-02-05,2.8535,23,1,0.08333333333333333,0.016666666666666666,0.2,0.0008417803654727773,0.010101364385673328
产品4,10Y,S0059749,snowBall,2016-01-08,2.8362,2017-01-06,12个月,-0.11,2.7262,0.1,2.9362,0.2,已敲出曾敲入,2016-01-08,2.8362,2016-02-05,2.8535,22,1,0.08333333333333333,0.016666666666666666,0.2,0.006099710880755893,0.07319653056907072
产品5,10Y,S0059749,snowBall,2016-01-11,2.8187,2017-01-11,12个月,-0.11,2.7087000000000003,0.1,2.9187000000000003,0.2,已敲出曾敲入,2016-01-11,2.8187,2016-02-05,2.8535,21,1,0.08333333333333333,0.016666666666666666,0.2,0.012346117004292667,0.148153404051512
产品6,10Y,S0059749,snowBall,2016-01-12,2.7887,2017-01-12,12个月,-0.11,2.6787,0.1,2.8887,0.2,已敲出曾敲入,2016-01-12,2.7887,2016-02-05,2.8535,20,1,0.08333333333333333,0.016666666666666666,0.2,0.023236633556854347,0.27883960268225216
产品7,10Y,S0059749,snowBall,2016-01-13,2.7237,2017-01-13,12个月,-0.11,2.6137,0.1,2.8237,0.2,已敲出曾敲入,2016-01-13,2.7237,2016-02-05,2.8535,19,1,0.08333333333333333,0.016666666666666666,0.2,0.04765576238205371,0.5718691485846445
产品8,10Y,S0059749,snowBall,2016-01-14,2.7513,2017-01-13,12个月,-0.11,2.6413,0.1,2.8513,0.2,已敲出曾敲入,2016-01-14,2.7513,2016-02-05,2.8535,18,1,0.08333333333333333,0.016666666666666666,0.2,0.03714607640024714,0.4457529168029657
产品9,10Y,S0059749,snowBall,2016-01-15,2.7464,2017-01-13,12个月,-0.11,2.6364,0.1,2.8464,0.2,已敲出曾敲入,2016-01-15,2.7464,2016-02-15,2.8371,18,1,0.08333333333333333,0.016666666666666666,0.2,0.03302505097582298,0.39630061170987574
产品10,10Y,S0059749,snowBall,2016-01-18,2.7764,2017-01-18,12个月,-0.11,2.6664000000000003,0.1,2.8764000000000003,0.2,已敲出曾敲入,2016-01-18,2.7764,2016-02-18,2.8351,20,1,0.08333333333333333,0.016666666666666666,0.2,0.021142486673390026,0.2537098400806803
产品11,10Y,S0059749,snowBall,2016-01-19,2.7964,2017-01-19,12个月,-0.11,2.6864000000000003,0.1,2.8964000000000003,0.2,已敲出曾敲入,2016-01-19,2.7964,2016-02-19,2.8251,20,1,0.08333333333333333,0.016666666666666666,0.2,0.010263195537119074,0.12315834644542889
产品12,10Y,S0059749,snowBall,2016-01-20,2.8114,2017-01-20,12个月,-0.11,2.7014,0.1,2.9114,0.2,已敲出曾敲入,2016-01-20,2.8114,2016-02-19,2.8251,19,1,0.08333333333333333,0.016666666666666666,0.2,0.0048730170022053265,0.05847620402646392
产品13,10Y,S0059749,snowBall,2016-01-21,2.7914,2017-01-20,12个月,-0.11,2.6814,0.1,2.8914,0.2,已敲出曾敲入,2016-01-21,2.7914,2016-02-19,2.8251,18,1,0.08333333333333333,0.016666666666666666,0.2,0.012072795013255089,0.14487354015906106
产品14,10Y,S0059749,snowBall,2016-01-22,2.7741,2017-01-20,12个月,-0.11,2.6641,0.1,2.8741,0.2,已敲出曾敲入,2016-01-22,2.7741,2016-02-22,2.8426,18,1,0.08333333333333333,0.016666666666666666,0.2,0.02469269312569855,0.2963123175083826
产品15,10Y,S0059749,snowBall,2016-01-25,2.859,2017-01-25,12个月,-0.11,2.749,0.1,2.959,0.2,已敲出曾敲入,2016-01-25,2.859,2016-02-25,2.8651,20,1,0.08333333333333333,0.016666666666666666,0.2,0.002133613151451552,0.025603357817418626
产品16,10Y,S0059749,snowBall,2016-01-26,2.8616,2017-01-26,12个月,-0.11,2.7516000000000003,0.1,2.9616000000000002,0.2,已敲出曾敲入,2016-01-26,2.8616,2016-02-26,2.8551,20,1,0.08333333333333333,0.016666666666666666,0.2,-0.0022714565278165733,-0.02725747833379888
产品17,10Y,S0059749,snowBall,2016-01-27,2.9016,2017-01-26,12个月,-0.11,2.7916000000000003,0.1,3.0016000000000003,0.2,已敲出曾敲入,2016-01-27,2.9016,2016-02-26,2.8551,19,1,0.08333333333333333,0.016666666666666666,0.2,-0.01602564102564097,-0.19230769230769162
产品18,10Y,S0059749,snowBall,2016-01-28,2.8866,2017-01-26,12个月,-0.11,2.7766,0.1,2.9866,0.2,已敲出曾敲入,2016-01-28,2.8866,2016-02-26,2.8551,18,1,0.08333333333333333,0.016666666666666666,0.2,-0.010912492205362612,-0.13094990646435134
产品19,10Y,S0059749,snowBall,2016-01-29,2.8419,2017-01-26,12个月,-0.11,2.7319,0.1,2.9419,0.2,已敲出曾敲入,2016-01-29,2.8419,2016-02-29,2.8502,18,1,0.08333333333333333,0.016666666666666666,0.2,0.0029205813012422865,0.03504697561490744
产品20,10Y,S0059749,snowBall,2016-02-01,2.8368,2017-01-26,12个月,-0.11,2.7268000000000003,0.1,2.9368000000000003,0.2,已敲出曾敲入,2016-02-01,2.8368,2016-03-01,2.8527,18,1,0.08333333333333333,0.016666666666666666,0.2,0.005604906937394238,0.06725888324873086
产品21,10Y,S0059749,snowBall,2016-02-02,2.8818,2017-01-26,12个月,-0.11,2.7718000000000003,0.1,2.9818000000000002,0.2,已敲出曾敲入,2016-02-02,2.8818,2016-03-02,2.8752,18,1,0.08333333333333333,0.016666666666666666,0.2,-0.002290235269623242,-0.027482823235478904
产品22,10Y,S0059749,snowBall,2016-02-03,2.8918,2017-02-03,12个月,-0.11,2.7818,0.1,2.9918,0.2,已敲出曾敲入,2016-02-03,2.8918,2016-03-03,2.9002,18,1,0.08333333333333333,0.016666666666666666,0.2,0.0029047651981464195,0.034857182377757034
产品23,10Y,S0059749,snowBall,2016-02-04,2.855,2017-02-03,12个月,-0.11,2.745,0.1,2.955,0.2,已敲出曾敲入,2016-02-04,2.855,2016-03-04,2.8952,18,1,0.08333333333333333,0.016666666666666666,0.2,0.014080560420315136,0.16896672504378163
产品24,10Y,S0059749,snowBall,2016-02-05,2.8535,2017-02-03,12个月,-0.11,2.7435,0.1,2.9535,0.2,已敲出曾敲入,2016-02-05,2.8535,2016-03-04,2.8952,17,1,0.08333333333333333,0.016666666666666666,0.2,0.014613632381286212,0.17536358857543455
产品25,10Y,S0059749,snowBall,2016-02-15,2.8371,2017-02-15,12个月,-0.11,2.7271,0.1,2.9371,0.2,已敲出曾敲入,2016-02-15,2.8371,2016-03-15,2.8404,23,1,0.08333333333333333,0.016666666666666666,0.2,0.001163159564343763,0.013957914772125157
产品26,10Y,S0059749,snowBall,2016-02-16,2.8376,2017-02-16,12个月,-0.11,2.7276000000000002,0.1,2.9376,0.2,已敲出曾敲入,2016-02-16,2.8376,2016-03-16,2.8054,23,1,0.08333333333333333,0.016666666666666666,0.2,-0.011347617705102953,-0.13617141246123543
产品27,10Y,S0059749,snowBall,2016-02-17,2.8351,2017-02-17,12个月,-0.11,2.7251000000000003,0.1,2.9351000000000003,0.2,已敲出曾敲入,2016-02-17,2.8351,2016-03-17,2.8154,23,1,0.08333333333333333,0.016666666666666666,0.2,-0.006948608514690924,-0.08338330217629109
产品28,10Y,S0059749,snowBall,2016-02-18,2.8351,2017-02-17,12个月,-0.11,2.7251000000000003,0.1,2.9351000000000003,0.2,已敲出曾敲入,2016-02-18,2.8351,2016-03-18,2.8229,23,1,0.08333333333333333,0.016666666666666666,0.2,-0.0043031991816867565,-0.05163839018024108
产品29,10Y,S0059749,snowBall,2016-02-19,2.8251,2017-02-17,12个月,-0.11,2.7151,0.1,2.9251,0.2,已敲出曾敲入,2016-02-19,2.8251,2016-03-18,2.8229,22,1,0.08333333333333333,0.016666666666666666,0.2,-0.0007787334961593118,-0.009344801953911741
产品30,10Y,S0059749,snowBall,2016-02-22,2.8426,2017-02-22,12个月,-0.11,2.7326,0.1,2.9426,0.2,已敲出曾敲入,2016-02-22,2.8426,2016-03-22,2.8304,23,1,0.08333333333333333,0.016666666666666666,0.2,-0.0042918454935622075,-0.05150214592274649
产品31,10Y,S0059749,snowBall,2016-02-23,2.8451,2017-02-23,12个月,-0.11,2.7351,0.1,2.9451,0.2,已敲出曾敲入,2016-02-23,2.8451,2016-03-23,2.8307,23,1,0.08333333333333333,0.016666666666666666,0.2,-0.005061333520790079,-0.06073600224948095
产品32,10Y,S0059749,snowBall,2016-02-24,2.8676,2017-02-24,12个月,-0.11,2.7576,0.1,2.9676,0.2,已敲出曾敲入,2016-02-24,2.8676,2016-03-24,2.8309,23,1,0.08333333333333333,0.016666666666666666,0.2,-0.01279815873901513,-0.15357790486818157
产品33,10Y,S0059749,snowBall,2016-02-25,2.8651,2017-02-24,12个月,-0.11,2.7551,0.1,2.9651,0.2,已敲出曾敲入,2016-02-25,2.8651,2016-03-25,2.8311,23,1,0.08333333333333333,0.016666666666666666,0.2,-0.011866950542738453,-0.14240340651286143
产品34,10Y,S0059749,snowBall,2016-02-26,2.8551,2017-02-24,12个月,-0.11,2.7451000000000003,0.1,2.9551000000000003,0.2,已敲出曾敲入,2016-02-26,2.8551,2016-03-25,2.8311,22,1,0.08333333333333333,0.016666666666666666,0.2,-0.008406010297362654,-0.10087212356835185
产品35,10Y,S0059749,snowBall,2016-02-29,2.8502,2017-02-28,12个月,-0.11,2.7402,0.1,2.9502,0.2,已敲出曾敲入,2016-02-29,2.8502,2016-03-29,2.851,23,1,0.08333333333333333,0.016666666666666666,0.2,0.00028068205739950614,0.0033681846887940736
产品36,10Y,S0059749,snowBall,2016-03-01,2.8527,2017-03-01,12个月,-0.11,2.7427,0.1,2.9527,0.2,已敲出曾敲入,2016-03-01,2.8527,2016-04-01,2.8422,25,1,0.08333333333333333,0.016666666666666666,0.2,-0.0036807235250815307,-0.04416868230097837
产品37,10Y,S0059749,snowBall,2016-03-02,2.8752,2017-03-02,12个月,-0.11,2.7652,0.1,2.9752,0.2,已敲出曾敲入,2016-03-02,2.8752,2016-04-01,2.8422,24,1,0.08333333333333333,0.016666666666666666,0.2,-0.011477462437395669,-0.13772954924874803
产品38,10Y,S0059749,snowBall,2016-03-03,2.9002,2017-03-03,12个月,-0.11,2.7902,0.1,3.0002,0.2,已敲出曾敲入,2016-03-03,2.9002,2016-04-01,2.8422,23,1,0.08333333333333333,0.016666666666666666,0.2,-0.019998620784773435,-0.23998344941728122
产品39,10Y,S0059749,snowBall,2016-03-04,2.8952,2017-03-03,12个月,-0.11,2.7852,0.1,2.9952,0.2,已敲出曾敲入,2016-03-04,2.8952,2016-04-01,2.8422,22,1,0.08333333333333333,0.016666666666666666,0.2,-0.01830616192318313,-0.21967394307819754
产品40,10Y,S0059749,snowBall,2016-03-07,2.9303,2017-03-07,12个月,-0.11,2.8203,0.1,3.0303,0.2,已敲出曾敲入,2016-03-07,2.9303,2016-04-07,2.9049,24,1,0.08333333333333333,0.016666666666666666,0.2,-0.008668054465413078,-0.10401665358495693
产品41,10Y,S0059749,snowBall,2016-03-08,2.9352,2017-03-08,12个月,-0.11,2.8252,0.1,3.0352,0.2,已敲出曾敲入,2016-03-08,2.9352,2016-04-08,2.9158,24,1,0.08333333333333333,0.016666666666666666,0.2,-0.0066094303624966155,-0.07931316434995939
产品42,10Y,S0059749,snowBall,2016-03-09,2.8928,2017-03-09,12个月,-0.11,2.7828,0.1,2.9928,0.2,已敲出曾敲入,2016-03-09,2.8928,2016-04-08,2.9158,23,1,0.08333333333333333,0.016666666666666666,0.2,0.007950774336283217,0.09540929203539861
产品43,10Y,S0059749,snowBall,2016-03-10,2.8653,2017-03-10,12个月,-0.11,2.7553,0.1,2.9653,0.2,已敲出曾敲入,2016-03-10,2.8653,2016-04-08,2.9158,22,1,0.08333333333333333,0.016666666666666666,0.2,0.01762468153421981,0.21149617841063773
产品44,10Y,S0059749,snowBall,2016-03-11,2.8453,2017-03-10,12个月,-0.11,2.7353,0.1,2.9453,0.2,已敲出曾敲入,2016-03-11,2.8453,2016-04-11,2.9091,22,1,0.08333333333333333,0.016666666666666666,0.2,0.022422943099146053,0.26907531718975264
产品45,10Y,S0059749,snowBall,2016-03-14,2.8504,2017-03-14,12个月,-0.11,2.7404,0.1,2.9504,0.2,已敲出曾敲入,2016-03-14,2.8504,2016-04-14,2.9352,24,1,0.08333333333333333,0.016666666666666666,0.2,0.0297502104967724,0.3570025259612688
产品46,10Y,S0059749,snowBall,2016-03-15,2.8404,2017-03-15,12个月,-0.11,2.7304,0.1,2.9404,0.2,已敲出曾敲入,2016-03-15,2.8404,2016-04-15,2.9151,24,1,0.08333333333333333,0.016666666666666666,0.2,0.026299112801013935,0.3155893536121672
产品47,10Y,S0059749,snowBall,2016-03-16,2.8054,2017-03-16,12个月,-0.11,2.6954000000000002,0.1,2.9054,0.2,已敲出曾敲入,2016-03-16,2.8054,2016-04-15,2.9151,23,1,0.08333333333333333,0.016666666666666666,0.2,0.039103158194909726,0.4692378983389167
产品48,10Y,S0059749,snowBall,2016-03-17,2.8154,2017-03-17,12个月,-0.11,2.7054,0.1,2.9154,0.2,已敲出曾敲入,2016-03-17,2.8154,2016-04-15,2.9151,22,1,0.08333333333333333,0.016666666666666666,0.2,0.0354123747957662,0.4249484975491944
产品49,10Y,S0059749,snowBall,2016-03-18,2.8229,2017-03-17,12个月,-0.11,2.7129000000000003,0.1,2.9229000000000003,0.2,已敲出曾敲入,2016-03-18,2.8229,2016-04-18,2.9047,22,1,0.08333333333333333,0.016666666666666666,0.2,0.0289772928548655,0.347727514258386
产品50,10Y,S0059749,snowBall,2016-03-21,2.8305,2017-03-21,12个月,-0.11,2.7205,0.1,2.9305,0.2,已敲出曾敲入,2016-03-21,2.8305,2016-04-21,2.9208,24,1,0.08333333333333333,0.016666666666666666,0.2,0.03190249072602014,0.38282988871224166
产品51,10Y,S0059749,snowBall,2016-03-22,2.8304,2017-03-22,12个月,-0.11,2.7204,0.1,2.9304,0.2,已敲出曾敲入,2016-03-22,2.8304,2016-04-22,2.9309,24,1,0.08333333333333333,0.016666666666666666,0.2,0.03550734878462403,0.4260881854154883
产品52,10Y,S0059749,snowBall,2016-03-23,2.8307,2017-03-23,12个月,-0.11,2.7207000000000003,0.1,2.9307000000000003,0.2,已敲出曾敲入,2016-03-23,2.8307,2016-04-22,2.9309,23,1,0.08333333333333333,0.016666666666666666,0.2,0.03539760483272669,0.4247712579927203
产品53,10Y,S0059749,snowBall,2016-03-24,2.8309,2017-03-24,12个月,-0.11,2.7209000000000003,0.1,2.9309000000000003,0.2,已敲出曾敲入,2016-03-24,2.8309,2016-04-22,2.9309,22,1,0.08333333333333333,0.016666666666666666,0.2,0.035324455120279596,0.42389346144335516
产品54,10Y,S0059749,snowBall,2016-03-25,2.8311,2017-03-24,12个月,-0.11,2.7211000000000003,0.1,2.9311000000000003,0.2,已敲出曾敲入,2016-03-25,2.8311,2016-04-25,2.9362,22,1,0.08333333333333333,0.016666666666666666,0.2,0.03712337960510048,0.4454805552612058
产品55,10Y,S0059749,snowBall,2016-03-28,2.8665,2017-03-28,12个月,-0.11,2.7565,0.1,2.9665,0.2,已敲出曾敲入,2016-03-28,2.8665,2016-04-28,2.8863,24,1,0.08333333333333333,0.016666666666666666,0.2,0.0069073783359496765,0.08288854003139612
产品56,10Y,S0059749,snowBall,2016-03-29,2.851,2017-03-29,12个月,-0.11,2.741,0.1,2.951,0.2,已敲出曾敲入,2016-03-29,2.851,2016-04-29,2.8913,24,1,0.08333333333333333,0.016666666666666666,0.2,0.014135391090845495,0.16962469309014594
产品57,10Y,S0059749,snowBall,2016-03-30,2.8362,2017-03-30,12个月,-0.11,2.7262,0.1,2.9362,0.2,已敲出曾敲入,2016-03-30,2.8362,2016-04-29,2.8913,23,1,0.08333333333333333,0.016666666666666666,0.2,0.01942740286298572,0.23312883435582865
产品58,10Y,S0059749,snowBall,2016-03-31,2.8419,2017-03-31,12个月,-0.11,2.7319,0.1,2.9419,0.2,已敲出曾敲入,2016-03-31,2.8419,2016-04-29,2.8913,22,1,0.08333333333333333,0.016666666666666666,0.2,0.017382736901368823,0.20859284281642587
产品59,10Y,S0059749,snowBall,2016-04-01,2.8422,2017-03-31,12个月,-0.11,2.7322,0.1,2.9422,0.2,已敲出曾敲入,2016-04-01,2.8422,2016-04-29,2.8913,21,1,0.08333333333333333,0.016666666666666666,0.2,0.01727535008092329,0.2073042009710795
产品60,10Y,S0059749,snowBall,2016-04-05,2.8637,2017-04-05,12个月,-0.11,2.7537000000000003,0.1,2.9637000000000002,0.2,已敲出曾敲入,2016-04-05,2.8637,2016-05-05,2.9017,23,1,0.08333333333333333,0.016666666666666666,0.2,0.013269546391032616,0.1592345566923914
产品61,10Y,S0059749,snowBall,2016-04-06,2.8689,2017-04-06,12个月,-0.11,2.7589,0.1,2.9689,0.2,已敲出曾敲入,2016-04-06,2.8689,2016-05-06,2.9016,23,1,0.08333333333333333,0.016666666666666666,0.2,0.011398096831538362,0.13677716197846035
产品62,10Y,S0059749,snowBall,2016-04-07,2.9049,2017-04-07,12个月,-0.11,2.7949,0.1,3.0049,0.2,已敲出曾敲入,2016-04-07,2.9049,2016-05-06,2.9016,22,1,0.08333333333333333,0.016666666666666666,0.2,-0.0011360115666632087,-0.013632138799958504
产品63,10Y,S0059749,snowBall,2016-04-08,2.9158,2017-04-07,12个月,-0.11,2.8058,0.1,3.0158,0.2,已敲出曾敲入,2016-04-08,2.9158,2016-05-06,2.9016,21,1,0.08333333333333333,0.016666666666666666,0.2,-0.0048700185197886325,-0.05844022223746359
产品64,10Y,S0059749,snowBall,2016-04-11,2.9091,2017-04-11,12个月,-0.11,2.7991,0.1,3.0091,0.2,已敲出曾敲入,2016-04-11,2.9091,2016-05-11,2.9075,23,1,0.08333333333333333,0.016666666666666666,0.2,-0.0005499982812553483,-0.00659997937506418
产品65,10Y,S0059749,snowBall,2016-04-12,2.91,2017-04-12,12个月,-0.11,2.8000000000000003,0.1,3.0100000000000002,0.2,已敲出曾敲入,2016-04-12,2.91,2016-05-12,2.8975,23,1,0.08333333333333333,0.016666666666666666,0.2,-0.004295532646048206,-0.05154639175257847
产品66,10Y,S0059749,snowBall,2016-04-13,2.9271,2017-04-13,12个月,-0.11,2.8171,0.1,3.0271,0.2,已敲出曾敲入,2016-04-13,2.9271,2016-05-13,2.905,23,1,0.08333333333333333,0.016666666666666666,0.2,-0.007550134945850884,-0.0906016193502106
产品67,10Y,S0059749,snowBall,2016-04-14,2.9352,2017-04-14,12个月,-0.11,2.8252,0.1,3.0352,0.2,已敲出曾敲入,2016-04-14,2.9352,2016-05-13,2.905,22,1,0.08333333333333333,0.016666666666666666,0.2,-0.010288907059144203,-0.12346688470973044
产品68,10Y,S0059749,snowBall,2016-04-15,2.9151,2017-04-14,12个月,-0.11,2.8051,0.1,3.0151,0.2,已敲出曾敲入,2016-04-15,2.9151,2016-05-13,2.905,21,1,0.08333333333333333,0.016666666666666666,0.2,-0.0034647181914857494,-0.04157661829782899
产品69,10Y,S0059749,snowBall,2016-04-18,2.9047,2017-04-18,12个月,-0.11,2.7947,0.1,3.0047,0.2,已敲出曾敲入,2016-04-18,2.9047,2016-05-18,2.955,23,1,0.08333333333333333,0.016666666666666666,0.2,0.017316762488380988,0.20780114986057185
产品70,10Y,S0059749,snowBall,2016-04-19,2.906,2017-04-19,12个月,-0.11,2.7960000000000003,0.1,3.0060000000000002,0.2,已敲出曾敲入,2016-04-19,2.906,2016-05-19,2.96,23,1,0.08333333333333333,0.016666666666666666,0.2,0.018582243633860962,0.22298692360633154
产品71,10Y,S0059749,snowBall,2016-04-20,2.9258,2017-04-20,12个月,-0.11,2.8158000000000003,0.1,3.0258000000000003,0.2,已敲出曾敲入,2016-04-20,2.9258,2016-05-20,2.95,23,1,0.08333333333333333,0.016666666666666666,0.2,0.008271242053455419,0.09925490464146502
产品72,10Y,S0059749,snowBall,2016-04-21,2.9208,2017-04-21,12个月,-0.11,2.8108,0.1,3.0208,0.2,已敲出曾敲入,2016-04-21,2.9208,2016-05-20,2.95,22,1,0.08333333333333333,0.016666666666666666,0.2,0.009997261024377035,0.11996713229252443
产品73,10Y,S0059749,snowBall,2016-04-22,2.9309,2017-04-21,12个月,-0.11,2.8209,0.1,3.0309,0.2,已敲出曾敲入,2016-04-22,2.9309,2016-05-20,2.95,21,1,0.08333333333333333,0.016666666666666666,0.2,0.006516769592957994,0.07820123511549593
产品74,10Y,S0059749,snowBall,2016-04-25,2.9362,2017-04-25,12个月,-0.11,2.8262,0.1,3.0362,0.2,已敲出曾敲入,2016-04-25,2.9362,2016-05-25,2.9401,23,1,0.08333333333333333,0.016666666666666666,0.2,0.0013282473945916973,0.015938968735100367
产品75,10Y,S0059749,snowBall,2016-04-26,2.9212,2017-04-26,12个月,-0.11,2.8112,0.1,3.0212,0.2,已敲出曾敲入,2016-04-26,2.9212,2016-05-26,2.9401,23,1,0.08333333333333333,0.016666666666666666,0.2,0.006469943858688376,0.07763932630426051
产品76,10Y,S0059749,snowBall,2016-04-27,2.9108,2017-04-27,12个月,-0.11,2.8008,0.1,3.0108,0.2,已敲出曾敲入,2016-04-27,2.9108,2016-05-27,2.9451,23,1,0.08333333333333333,0.016666666666666666,0.2,0.011783702075030877,0.14140442490037053
产品77,10Y,S0059749,snowBall,2016-04-28,2.8863,2017-04-28,12个月,-0.11,2.7763,0.1,2.9863,0.2,已敲出曾敲入,2016-04-28,2.8863,2016-05-27,2.9451,22,1,0.08333333333333333,0.016666666666666666,0.2,0.020372102692027827,0.24446523230433392
产品78,10Y,S0059749,snowBall,2016-04-29,2.8913,2017-04-28,12个月,-0.11,2.7813000000000003,0.1,2.9913000000000003,0.2,已敲出曾敲入,2016-04-29,2.8913,2016-05-27,2.9451,21,1,0.08333333333333333,0.016666666666666666,0.2,0.018607546778265815,0.22329056133918979
产品79,10Y,S0059749,snowBall,2016-05-03,2.889,2017-05-03,12个月,-0.11,2.779,0.1,2.989,0.2,已敲出曾敲入,2016-05-03,2.889,2016-06-03,3.0152,25,1,0.08333333333333333,0.016666666666666666,0.2,0.04368293527172051,0.5241952232606462
产品80,10Y,S0059749,snowBall,2016-05-04,2.8965,2017-05-04,12个月,-0.11,2.7865,0.1,2.9965,0.2,已敲出曾敲入,2016-05-04,2.8965,2016-06-03,3.0152,24,1,0.08333333333333333,0.016666666666666666,0.2,0.04098049369929235,0.49176592439150824
产品81,10Y,S0059749,snowBall,2016-05-05,2.9017,2017-05-05,12个月,-0.11,2.7917,0.1,3.0017,0.2,已敲出曾敲入,2016-05-05,2.9017,2016-06-03,3.0152,23,1,0.08333333333333333,0.016666666666666666,0.2,0.03911500155081504,0.4693800186097805
产品82,10Y,S0059749,snowBall,2016-05-06,2.9016,2017-05-05,12个月,-0.11,2.7916000000000003,0.1,3.0016000000000003,0.2,已敲出曾敲入,2016-05-06,2.9016,2016-06-06,3.0041,23,1,0.08333333333333333,0.016666666666666666,0.2,0.03532533774469249,0.42390405293630984
产品83,10Y,S0059749,snowBall,2016-05-09,2.8818,2017-05-09,12个月,-0.11,2.7718000000000003,0.1,2.9818000000000002,0.2,已敲出曾敲入,2016-05-09,2.8818,2016-06-08,3.0077,24,1,0.08333333333333333,0.016666666666666666,0.2,0.04368797279478098,0.5242556735373718
产品84,10Y,S0059749,snowBall,2016-05-10,2.9,2017-05-10,12个月,-0.11,2.79,0.1,3.0,0.2,已敲出曾敲入,2016-05-10,2.9,2016-06-08,3.0077,23,1,0.08333333333333333,0.016666666666666666,0.2,0.03713793103448282,0.4456551724137938
产品85,10Y,S0059749,snowBall,2016-05-11,2.9075,2017-05-11,12个月,-0.11,2.7975000000000003,0.1,3.0075000000000003,0.2,已敲出曾敲入,2016-05-11,2.9075,2016-06-08,3.0077,22,1,0.08333333333333333,0.016666666666666666,0.2,0.034462596732588,0.413551160791056
产品86,10Y,S0059749,snowBall,2016-05-12,2.8975,2017-05-12,12个月,-0.11,2.7875,0.1,2.9975,0.2,已敲出曾敲入,2016-05-12,2.8975,2016-06-08,3.0077,21,1,0.08333333333333333,0.016666666666666666,0.2,0.03803278688524592,0.456393442622951
产品87,10Y,S0059749,snowBall,2016-05-13,2.905,2017-05-12,12个月,-0.11,2.795,0.1,3.005,0.2,已敲出曾敲入,2016-05-13,2.905,2016-06-13,2.9979,21,1,0.08333333333333333,0.016666666666666666,0.2,0.03197934595524954,0.38375215146299446
产品88,10Y,S0059749,snowBall,2016-05-16,2.9275,2017-05-16,12个月,-0.11,2.8175000000000003,0.1,3.0275000000000003,0.2,已敲出曾敲入,2016-05-16,2.9275,2016-06-16,2.9455,23,1,0.08333333333333333,0.016666666666666666,0.2,0.006148590947907762,0.07378309137489314
产品89,10Y,S0059749,snowBall,2016-05-17,2.93,2017-05-17,12个月,-0.11,2.8200000000000003,0.1,3.0300000000000002,0.2,已敲出曾敲入,2016-05-17,2.93,2016-06-17,2.9379,23,1,0.08333333333333333,0.016666666666666666,0.2,0.0026962457337882384,0.03235494880545886
产品90,10Y,S0059749,snowBall,2016-05-18,2.955,2017-05-18,12个月,-0.11,2.845,0.1,3.055,0.2,已敲出曾敲入,2016-05-18,2.955,2016-06-17,2.9379,22,1,0.08333333333333333,0.016666666666666666,0.2,-0.0057868020304568946,-0.06944162436548273
产品91,10Y,S0059749,snowBall,2016-05-19,2.96,2017-05-19,12个月,-0.11,2.85,0.1,3.06,0.2,已敲出曾敲入,2016-05-19,2.96,2016-06-17,2.9379,21,1,0.08333333333333333,0.016666666666666666,0.2,-0.007466216216216237,-0.08959459459459485
产品92,10Y,S0059749,snowBall,2016-05-20,2.95,2017-05-19,12个月,-0.11,2.8400000000000003,0.1,3.0500000000000003,0.2,已敲出曾敲入,2016-05-20,2.95,2016-06-20,2.9481,21,1,0.08333333333333333,0.016666666666666666,0.2,-0.0006440677966101926,-0.007728813559322312
产品93,10Y,S0059749,snowBall,2016-05-23,2.955,2017-05-23,12个月,-0.11,2.845,0.1,3.055,0.2,已敲出曾敲入,2016-05-23,2.955,2016-06-23,2.9307,23,1,0.08333333333333333,0.016666666666666666,0.2,-0.00822335025380716,-0.09868020304568592
产品94,10Y,S0059749,snowBall,2016-05-24,2.935,2017-05-24,12个月,-0.11,2.825,0.1,3.035,0.2,已敲出曾敲入,2016-05-24,2.935,2016-06-24,2.8808,23,1,0.08333333333333333,0.016666666666666666,0.2,-0.0184667802385009,-0.22160136286201082
